AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2017;CIÊNCIAS AGRÁRIAS;ZOOTECNIA;PRODUÇÃO ANIMAL;NÃO SE APLICA;23;ZOOTECNIA / RECURSOS PESQUEIROS;24001031;NI;UFPB/AREIA;UNIVERSIDADE FEDERAL DA PARAÍBA ( AREIA );FEDERAL;PÚBLICA;NÃO INFORMADO;NORDESTE;PB;AREIA;24001031024P5;ZOOTECNIA;24001031024M5;ZOOTECNIA;MESTRADO;4;1978;EM FUNCIONAMENTO;18SEP2012:00:00:00;171555;105255
2017;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;40014010;1126;UNICENTRO;UNIVERSIDADE ESTADUAL DO CENTRO-OESTE;ESTADUAL;PÚBLICA;NÃO INFORMADO;SUL;PR;GUARAPUAVA;40014010007P9;LETRAS;40014010007M9;LETRAS;MESTRADO;4;2011;EM FUNCIONAMENTO;23OCT2012:00:00:00;174271;107687
2017;CIÊNCIAS SOCIAIS APLICADAS;SERVIÇO SOCIAL;NÃO SE APLICA;NÃO SE APLICA;32;SERVIÇO SOCIAL;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;53001010035P1;POLÍTICA SOCIAL;53001010035D2;POLÍTICA SOCIAL;DOUTORADO;6;2002;EM FUNCIONAMENTO;18SEP2012:00:00:00;174291;107707
2017;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;23001011;570;UFRN;UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;RN;NATAL;23001011013P0;ESTUDOS DA LINGUAGEM;23001011013M0;ESTUDOS DA LINGUAGEM;MESTRADO;5;1993;EM FUNCIONAMENTO;18SEP2012:00:00:00;172220;105928
2017;CIÊNCIAS HUMANAS;CIÊNCIA POLÍTICA;NÃO SE APLICA;NÃO SE APLICA;39;CIÊNCIA POLÍTICA E RELAÇÕES INTERNACIONAIS;31004016;547;UERJ;UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31004016061P6;CIÊNCIA POLÍTICA;31004016061D7;CIÊNCIA POLÍTICA;DOUTORADO;6;2010;EM FUNCIONAMENTO;19OCT2012:00:00:00;170533;104313
2017;CIÊNCIAS EXATAS E DA TERRA;MATEMÁTICA;ANÁLISE;NÃO SE APLICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA;32003013;598;UNIFEI;UNIVERSIDADE FEDERAL DE ITAJUBÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;ITAJUBÁ;32003013012P1;MATEMÁTICA;32003013012M1;MATEMÁTICA;MESTRADO;3;2013;EM FUNCIONAMENTO;21FEB2014:00:00:00;169110;102969
2017;CIÊNCIAS AGRÁRIAS;ENGENHARIA AGRÍCOLA;ENGENHARIA DE ÁGUA E SOLO;IRRIGAÇÃO E DRENAGEM;42;CIÊNCIAS AGRÁRIAS I;22001018;583;UFC;UNIVERSIDADE FEDERAL DO CEARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;CE;FORTALEZA;22001018014P3;ENGENHARIA AGRÍCOLA;22001018014D4;ENGENHARIA AGRÍCOLA;DOUTORADO;5;2008;EM FUNCIONAMENTO;18SEP2012:00:00:00;170075;103839
2017;CIÊNCIAS AGRÁRIAS;ZOOTECNIA;NÃO SE APLICA;NÃO SE APLICA;23;ZOOTECNIA / RECURSOS PESQUEIROS;16003012;3849;UFT;UNIVERSIDADE FEDERAL DO TOCANTINS;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;TO;ARAGUAÍNA;16003012002P0;CIÊNCIA ANIMAL TROPICAL;16003012002D1;CIÊNCIA ANIMAL;DOUTORADO;4;2009;EM FUNCIONAMENTO;18SEP2012:00:00:00;169322;103119
2017;CIÊNCIAS EXATAS E DA TERRA;QUÍMICA;QUÍMICA ORGÂNICA;NÃO SE APLICA;4;QUÍMICA;31001017;586;UFRJ;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31001017006P6;QUÍMICA;31001017006D7;QUÍMICA;DOUTORADO;6;1963;EM FUNCIONAMENTO;18SEP2012:00:00:00;169945;103727
2017;CIÊNCIAS DA SAÚDE;ENFERMAGEM;NÃO SE APLICA;NÃO SE APLICA;20;ENFERMAGEM;31021018;693;UNIRIO;UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;RIO DE JANEIRO;31021018022P5;SAÚDE E TECNOLOGIA NO ESPAÇO HOSPITALAR;31021018022F8;SAÚDE E TECNOLOGIA NO ESPAÇO HOSPITALAR;MESTRADO PROFISSIONAL;3;2013;EM FUNCIONAMENTO;06FEB2017:00:00:00;169997;103779
2017;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;52012018;47;UEG;UNIVERSIDADE ESTADUAL DE GOIÁS;ESTADUAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;GO;GOIÁS;52012018011P7;LÍNGUA, LITERATURA E INTERCULTURALIDADE;52012018011M7;LÍNGUA, LITERATURA E INTERCULTURALIDADE;MESTRADO;3;2017;EM FUNCIONAMENTO;16APR2017:00:00:00;170465;104237
2017;CIÊNCIAS HUMANAS;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;33001014;7;UFSCAR;UNIVERSIDADE FEDERAL DE SÃO CARLOS;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SÃO CARLOS;33001014023P3;ANTROPOLOGIA SOCIAL;33001014023D4;ANTROPOLOGIA SOCIAL;DOUTORADO;5;2009;EM FUNCIONAMENTO;18SEP2012:00:00:00;169090;102947
