NM_ORIENTADOR,0
ABEL CAVALCANTE LIMA FILHO,7
ADAILSON PEREIRA DE SOUZA,4
ADELAIDE ALVES DIAS,6
ADERBAL MARCOS DE AZEVEDO SILVA,2
ADRIANA DIAS VIEIRA,4
ADRIANA FERREIRA DOS SANTOS,1
ADRIANA FUMI CHIM MIKI,5
ADRIANA SILVA LIMA,2
ADRIANA VALERIA SANTOS DINIZ,3
ADRIANO AZEVEDO GOMES DE LEON,8
ADRIANO ELISIO DE FIGUEIREDO LOPES LUCENA,2
ADRIANO MARTELETO GODINHO,6
ADRIANUS CORNELIUS VAN HAANDEL,5
ALANNIO BARBOSA NOBREGA,2
ALBERICIO PEREIRA DE ANDRADE,4
ALBERTO SOARES DE MELO,1
ALDO LEONARDO CUNHA CALLADO,10
ALECKSANDRA VIEIRA DE LACERDA,3
ALESSANDRA XIMENES DA SILVA,5
ALESSANDRE PEREIRA COLAVITE,6
ALESSANDRO FREDERICO DA SILVEIRA,2
ALESSANDRO LEITE CAVALCANTI,10
ALESSIO TONY CAVALCANTI DE ALMEIDA,1
ALEX DA SILVA BARBOSA,2
ALEXANDRE CESAR CUNHA LEITE,3
ALEXANDRE DA SILVA ROSAS,3
ALEXANDRE DE BUSTAMANTE SIMAS,2
ALEXANDRE EDUARDO DE ARAUJO,2
ALEXANDRE JEAN RENE SERRES,4
ALEXANDRE JOSE DE MELO QUEIROZ,4
ALEXANDRE MAGNO E SILVA FERREIRA,1
ALEXANDRE MAGNO TAVARES DA SILVA,3
ALEXANDRE PAIVA DA SILVA,5
ALEXANDRE REZENDE VIEIRA,11
ALEXANDRE SERGIO SILVA,1
ALEXANDRE VASCONCELLOS,5
ALEXSANDRA CRISTINA CHAVES,4
ALEXSANDRO BEZERRA CAVALCANTI,1
ALEXSANDRO SILVA COURA,3
ALFREDINA DOS SANTOS ARAUJO,2
ALFREDO GOMES NETO,6
ALFREDO ISMAEL CURBELO GARNICA,1
ALFREDO RANGEL RIBEIRO,4
ALINE COSTA FERREIRA,1
ALINE MARIA BATISTA MACHADO,9
ALLAN GEORGE DE CARVALHO FREITAS,2
ALMIR PEREIRA DE SOUZA,2
ALTAMIRA PEREIRA DA SILVA REICHERT,8
ALUISIO BRAZ DE MELO,10
ALUIZIO FREIRE DA SILVA JUNIOR,1
ALYSSON ANDRE REGIS OLIVEIRA,4
ALZIRA KARLA ARAUJO DA SILVA,2
AMANDA CHRISTINNE NASCIMENTO MARQUES,1
AMILCAR RABELO DE QUEIROZ,1
ANA ALAYDE WERBA SALDANHA PICHELLI,12
ANA CAROLINA DANTAS ROCHA CERQUEIRA,3
ANA CAROLINA FIGUEIREDO LACERDA SAKAMOTO,4
ANA CAROLINA KRUTA DE ARAUJO BISPO,1
ANA CELIA RODRIGUES ATHAYDE,2
ANA CLAUDIA CAVALCANTI PEIXOTO DE VASCONCELOS,2
ANA CLAUDIA DA SILVA RODRIGUES,2
ANA CLAUDIA DANTAS DE MEDEIROS,6
ANA CRISTINA DE OLIVEIRA E SILVA,1
ANA CRISTINA FIGUEIREDO DE MELO COSTA,11
ANA CRISTINA MARINHO LUCIO,2
ANA FLAVIA GRANVILLE GARCIA,12
ANA LUCIA DE ARAUJO LIMA COELHO,3
ANA LUISA CELINO COUTINHO,4
ANA MARIA VEIGA,3
ANA MARLY ARAUJO MAIA AMORIM,2
ANA PAULA BASSO,2
ANA PAULA BISPO DA SILVA,1
ANA PAULA FURTADO SOARES PONTES,3
ANA PAULA PINTADO WYSE,1
ANA PAULA ROCHA DE SALES MIRANDA,2
ANA PAULA RODRIGUES CAVALCANTI,1
ANA PAULA TRINDADE ROCHA,7
ANA RAQUEL PEREIRA DE ATAIDE,7
ANA RAQUEL ROSAS TORRES,10
ANA ROBERTA DA SILVA PAULINO,3
ANABELLE CAMAROTTI DE LIMA BATISTA,5
ANAND SUBRAMANIAN,1
ANCELIO RICARDO DE OLIVEIRA GONDIM,1
ANDERSON DARC FERREIRA,1
ANDRE GUSTAVO CARVALHO MACHADO,3
ANDRE LEANDRO DA SILVA,2
ANDRE LUIZ MACHADO PESSANHA,6
ANDRE RICARDO FONSECA DA SILVA,1
ANDRE ULISSES DANTAS BATISTA,5
ANDREA CARLA LIMA RODRIGUES,1
ANDREA DE LUCENA LIRA,4
ANDREI GUILHERME LOPES,1
ANDREY ELISIO MONTEIRO BRITO,5
ANGELA MARIA CAVALCANTI RAMALHO,2
ANGELA MARIA TRIBUZY DE MAGALHAES CORDEIRO,5
ANGELINA DIAS LEAO COSTA,5
ANGELO EMILIO DA SILVA PESSOA,4
ANGELO PERKUSICH,5
ANGELO VIEIRA MENDONCA,6
ANIELSON BARBOSA DA SILVA,2
ANIERES BARBOSA DA SILVA,1
ANISIO JOSE DA SILVA ARAUJO,6
ANNA ALICE FIGUEIREDO DE ALMEIDA QUEIROZ,12
ANNE ISABELLEY GONDIM DE FARIAS,2
ANNE JAQUELYNE ROQUE BARRETO,2
ANTONIA ARISDELIA FONSECA MATIAS AGUIAR FEITOSA,3
ANTONIA LUCIA DE SOUZA,3
ANTONIO ALMEIDA SILVA,4
ANTONIO ANDRE CUNHA CALLADO,1
ANTONIO CARLOS BRANDAO DE ARAUJO,4
ANTONIO CARLOS DE MELO MAGALHAES,4
ANTONIO CARLOS FERREIRA PINHEIRO,6
ANTONIO CARLOS PINHEIRO,5
ANTONIO DE PÁDUA DIAS DA SILVA,9
ANTONIO FERNANDES FILHO,1
ANTONIO FLAVIO MEDEIROS DANTAS,4
ANTONIO GILSON BARBOSA DE LIMA,10
ANTONIO GIOVANNI BOAES GONCALVES,3
ANTONIO LUCINEUDO DE OLIVEIRA FREIRE,2
ANTONIO MARCUS NOGUEIRA LIMA,2
ANTONIO ROBERTO FAUSTINO DA COSTA,3
ANTONIO TAVERNARD PEREIRA NETO,1
ARDIGLEUSA ALVES COELHO,3
ARILSON SILVA DE OLIVEIRA,1
ARIOSVALDO NUNES DE MEDEIROS,8
ARTURO GOUVEIA DE ARAUJO,12
ARY DA SILVA MAIA,2
AUGUSTO WAGNER MENEZES TEIXEIRA JUNIOR,1
AURELIO MENEGON NETO,10
AZEMAR DOS SANTOS SOARES JUNIOR,3
BARTOLOMEU ISRAEL DE SOUZA,8
BASILIO BASEIA,3
BELISIA LUCIA MOREIRA TOSCANO DINIZ,1
BENEMAR ALENCAR DE SOUZA,5
BERNADETE DE LOURDES FIGUEIREDO DE ALMEIDA,5
BERNARDINA MARIA JUVENAL FREIRE DE OLIVEIRA,3
BERNARDINO FERNANDEZ CALVO,2
BERNARDO BARBOSA DA SILVA,4
BERTULIO DE LIMA BERNARDO,2
BETANIA PASSOS MEDRADO,7
BETTO LEITE DA SILVA,1
BIANCA DE FREITAS TERRA,2
BOLIVAR PONCIANO GOULART DE LIMA DAMASCENO,3
BONIFACIO BENICIO DE SOUZA,6
BRAULIO ALMEIDA SANTOS,4
BRUNO FERREIRA FRASCAROLI,1
BRUNO HENRIQUE ANDRADE GALVAO,6
BRUNO HENRIQUE CARVALHO RIBEIRO,2
BRUNO MEDEIROS ROLDAO DE ARAUJO,1
CAMILA CUNICO,2
CAMILO ALLYSON SIMOES DE FARIAS,1
CARLA ALECSANDRA DE MELO BONIFACIO,3
CARLA ALEXANDRA DA SILVA MOITA MINERVINO,2
CARLA CAMPOS MUNIZ MEDEIROS,2
CARLA LYNN REICHMANN,3
CARLA PATRICIA DE ARAUJO PEREIRA,3
CARLA SORAIA SOARES DE CASTRO,3
CARLOS ALBERTO DE ALMEIDA GADELHA,4
CARLOS ALBERTO DOMINGUES DA SILVA,2
CARLOS ALBERTO VIEIRA DE AZEVEDO,6
CARLOS ANDRE MACEDO CAVALCANTI,7
CARLOS ANTONIO CABRAL DOS SANTOS,11
CARLOS ANTONIO COSTA DOS SANTOS,12
CARLOS ANTONIO PEREIRA DE LIMA,4
CARLOS AUGUSTO DE AMORIM CARDOSO,3
CARLOS AUGUSTO ROMERO FILHO,3
CARLOS BARROS DE ARAUJO,5
CARLOS BOCKER NETO,1
CARLOS DANILO MIRANDA REGIS,2
CARLOS DE OLIVEIRA GALVAO,3
CARLOS EDUARDO CAVALCANTE,5
CARLOS EDUARDO COELHO FREIRE BATISTA,2
CARLOS EDUARDO PIMENTEL,5
CARLOS EDUARDO SANTOS PIRES,5
CARLOS ENRIQUE RUIZ FERREIRA,2
CARLOS HENRIQUE SALVINO GADELHA MENESES,1
CARLOS JOSE DE ARAUJO,4
CARLOS WILSON DANTAS DE ALMEIDA,1
CAROLINA DIAS LARANJEIRA,5
CAROLINE DELEVATI COLPO,1
CASSIANO FRANCISCO WEEGE NONAKA,6
CASSIO DA NOBREGA BESARRIA,6
CELIA CAMPOS BRAGA,8
CELSO AUGUSTO GUIMARAES SANTOS,2
CELSO JOSE BRUNO DE OLIVEIRA,3
CHARLITON JOSE DOS SANTOS MACHADO,3
CICERO DA ROCHA SOUTO,12
CICERO ROBERTO PEREIRA,10
CIDOVAL MORAIS DE SOUSA,3
CLARICE MARIA DE LUCENA MARTINS,1
CLAUDEMIR FIDELIS BEZERRA JUNIOR,4
CLAUDIA COUTINHO NOBREGA,3
CLAUDIA ENGLER CURY,5
CLAUDIA MARIA COSTA GOMES,2
CLAUDIA SANTOS MARTINIANO SOUSA,8
CLAUDIANOR OLIVEIRA ALVES,4
CLAUDIO DE SOUZA BAPTISTA,1
CLAUDIO GABRIEL LIMA JUNIOR,2
CLAUDIO JAVIER TABLADA,1
CLAUIRTON DE ALBUQUERQUE SIEBRA,1
CLEBERT JOSE ALVES,9
CLEONICE PEREIRA DOS SANTOS CAMINO,1
CLEONILSON PROTASIO DE SOUZA,1
CLETO BRASILEIRO MIRANDA NETO,2
CLEUMAR DA SILVA MOREIRA,5
CLOVIS ALBERTO VIEIRA DE MELO,3
CRISLENE RODRIGUES DA SILVA MORAIS,11
CRISTIANO DAS NEVES ALMEIDA,7
CURSINO BRANDAO JACOBINA,8
DAIANE MEDEIROS DA SILVA,3
DAISE LILIAN FONSECA DIAS,1
DALIANA QUEIROGA DE CASTRO GOMES,2
DALTON DARIO SEREY GUERRERO,3
DAMASIO FERNANDES JUNIOR,2
DAMIAO DE LIMA,2
DAMIAO JUNIO GONCALVES ARAUJO,2
DAMIAO PERGENTINO DE SOUSA,5
DANIEL ANTONIO DE SOUSA ALVES,5
DANIEL CORDEIRO DE MORAIS FILHO,3
DANIEL MARINHO PELLEGRINO,6
DANIEL OLIVEIRA MESQUITA,3
DANIEL SCHERER,1
DANIELA MARIA SEGABINAZI,3
DANIELA PITA DE MELO,9
DANIELE JOVEM DA SILVA AZEVEDO,2
DANIELLE BARBOSA LINS DE ALMEIDA,3
DANIELLE FRANKLIN DE CARVALHO,6
DANIELLE GUEDES DE LIMA CAVALCANTE,3
DANILA BARREIRO CAMPOS,3
DANILO DE ALMEIDA VASCONCELOS,2
DANILO JOSE AYRES DE MENEZES,2
DANNIEL FERREIRA DE OLIVEIRA,4
DARCON SOUSA,2
DARLENE CAMATI PERSUHN,5
DEBORA RAQUEL SOARES GUEDES TRIGUEIRO,3
DEGMAR FRANCISCA DOS ANJOS,4
DEISE MARA BARBOSA DE ALMEIDA,1
DENILSON DA SILVA PEREIRA COSTA,1
DENILSON PEREIRA DE MATOS,7
DENISE DIAS DA CRUZ,3
DERMEVAL ARAUJO FURTADO,10
DERMEVAL DA HORA OLIVEIRA,2
DIEGO ALEJANDRO COGOLLO APONTE,6
DIMAS BARRETO DE QUEIROZ,1
DIOGENES ANDRE VIEIRA MACIEL,9
DIOGO GONCALVES NEDER,1
DIONISIO BAZEIA FILHO,4
DIVANILDA MAIA ESTEVES,1
DORALICE SÁTYRO MAIA,4
DOUGLAS ZEPPELINI FILHO,1
EDCLEIDE MARIA ARAUJO,3
EDELTRUDES DE OLIVEIRA LIMA,4
EDGARD DE MACEDO SILVA,3
EDILMA DE LUCENA CATANDUBA,2
EDILSON PAES SARAIVA,7
EDILSON PAULO,3
EDINEIDE JEZINI MESQUITA ARAUJO,5
EDISON ROBERTO CABRAL DA SILVA,3
